car_id,timestamp,license_number,lane,speed,region
1.0,2026-04-07 15:14:41,140244,N/A,0,Unknown
1.0,2026-04-07 15:14:41,140244,N/A,0,Unknown
1.0,2026-04-07 15:14:42,140244,N/A,0,Unknown
1.0,2026-04-07 15:14:42,140244,N/A,0,Unknown
1.0,2026-04-07 15:14:43,740244,N/A,0,Unknown
1.0,2026-04-07 15:14:43,T40244,N/A,0,Unknown
1.0,2026-04-07 15:14:44,T40244,N/A,0,Unknown
1.0,2026-04-07 15:14:44,T40244,N/A,0,Unknown
1.0,2026-04-07 15:14:45,4I4426,N/A,0,Unknown
1.0,2026-04-07 15:14:45,4I4426,N/A,0,Unknown
1.0,2026-04-07 15:14:46,4I4426,N/A,0,Unknown
1.0,2026-04-07 15:14:46,4I420,N/A,0,Unknown
1.0,2026-04-07 15:14:47,TJZ4N102,N/A,0,Unknown
1.0,2026-04-07 15:14:47,KJZK402,N/A,0,Unknown
1.0,2026-04-07 15:14:48,WJ4182E,N/A,0,Unknown
1.0,2026-04-07 15:14:49,WJ4182E,N/A,0,Unknown
1.0,2026-04-07 15:14:49,WJ4182E,N/A,0,Unknown
1.0,2026-04-07 15:14:50,WD2N,N/A,0,Unknown
1.0,2026-04-07 15:14:50,WD2N,N/A,0,Unknown
1.0,2026-04-07 15:14:51,WD20,N/A,0,Unknown
47.0,2026-04-07 15:14:51,D24N,N/A,0,Unknown
47.0,2026-04-07 15:14:51,D24N,N/A,0,Unknown
47.0,2026-04-07 15:14:52,WO2IN,N/A,0,Unknown
47.0,2026-04-07 15:14:52,WO2WN,N/A,0,Unknown
47.0,2026-04-07 15:14:53,024410284,N/A,0,Unknown
1.0,2026-04-07 15:14:53,02484827A,N/A,0,Unknown
1.0,2026-04-07 15:14:54,44024NL1820S,N/A,0,Unknown
1.0,2026-04-07 15:14:54,AO24HL8273,N/A,0,Unknown
1.0,2026-04-07 15:14:55,K4024HL92E,N/A,0,Unknown
1.0,2026-04-07 15:14:55,K402LNL1020B,N/A,0,Unknown
1.0,2026-04-07 15:14:56,AA02W1826,N/A,0,Unknown
1.0,2026-04-07 15:14:56,AA02W1826,N/A,0,Unknown
1.0,2026-04-07 15:14:56,AA02MI,N/A,0,Unknown
1.0,2026-04-07 15:14:57,AA02MI,N/A,0,Unknown
1.0,2026-04-07 15:14:57,CAOZHIQ,N/A,0,Unknown
1.0,2026-04-07 15:14:58,CAOZHIQ,N/A,0,Unknown
1.0,2026-04-07 15:14:58,1X4024418281,N/A,0,Unknown
1.0,2026-04-07 15:14:58,JA02AN1828,N/A,0,Unknown
1.0,2026-04-07 15:14:59,J4024N1B28,N/A,0,Unknown
1.0,2026-04-07 15:14:59,K402WNJ82E1,N/A,0,Unknown
1.0,2026-04-07 15:15:00,X4024N18281,N/A,0,Unknown
1.0,2026-04-07 15:15:00,M4024MB2E,N/A,0,Unknown
52.0,2026-04-07 15:15:00,M402HM182C,N/A,0,Unknown
